,,,,,,,,,,,
NAME,SOUL ID,Wrongdoing,Atonement Task,Punishment,Difficulty,VIBE,Duration,Supervisor,BRIBE,Completion Check,Vote
Adolf Hitler,3053117,"Mistook ""The Hunger Games"" for a legitimate national policy.","Write 1,000,000 headlines that are 100% accurate and boring",ETERNAL DIAL-UP,Impossible,ROTTING,Eternal,Clippy,FALSE,FALSE,1664
Bill Clinton,2586199,"Played the sax, but arguably ""played"" the intern more.",Whisper secrets to a marble statue until it laughs,UNSKIPPABLE ADS,Medium,SEETHING,500 Years,Demon Karen,FALSE,FALSE,1625
Josef Stalin,5480618,"Took the ""back to school"" sales a bit too literally.",Manually categorize every piece of spam ever sent,NO WIFI SIGNAL,High,MALDING,Infinity,IT Manager,FALSE,FALSE,1284
Pol Pot,3066371,"The absolute worst candidate for a ""Worldâ€™s Best Doctor"" mug.",Hand-carve every letter of the dictionary in Papyrus font,STEPPING ON A LEGO,Extreme,REGRET,Eons,The Font God,FALSE,FALSE,919
Dr. Josef Mengele,3642203,"Discovered that ""Delete"" doesn't actually mean ""It never happened.""","Watch the *Titanic* ending every hour, but the audio is off-sync",WET SOCKS,Medium,SCREAMING,Until Water Recedes,Spoiler Alert Demon,FALSE,FALSE,783
Hillary Clinton,2378310,"Really misunderstood the concept of ""neighborly love"" toward Kuwait.",Peel and re-apply sticky labels to every product in the world,CHEESE TOUCH,High,COPE,Endless,Timer Imp,FALSE,FALSE,765
Saddam Hussein,4991124,Followed the GPS directions straight into a war crime.,"Praise the virtues of a kind, thoughtful stranger",TONGUE AWARENESS,Low,ITCHY,"10,000 Days",Archangel Michael,FALSE,FALSE,710
Adolf Eichmann,9912078,"A very unsuccessful, very murdery version of a hippie.",Sort rice by lenght,Rectal Pineapple,Not with that attitude,BURNING,Groundhog Day,Jimmy the Idiot boy,FALSE,FALSE,641
Charles Manson,2893368,Partied until others dropped,Wet Socks,Typing with Elbows,Yeech,DESPAIRING,Two Weeks,Doom Guy,FALSE,FALSE,548
Idi Amin,7976899,Awarded himself titles instead of actually winning them.,"Be eternally chased by a giant, hungry banana.",Electric Fork,High,PANTING,Until Caught,Banana Demon,FALSE,FALSE,514
Genghis Khan,9085295,"oo many conquests, not enough sharing.","Assemble Ikea furniture without instructions or the little hex key, forever.",Paper Cut Rain,Extreme,FRUSTRATED,Infinity,Sven the Assembly Demon,FALSE,FALSE,441
Jeffrey Dahmer,9399091,Dinner guests became permanent houseguests.,"Only be allowed to eat dry toast that has been slightly burned, served by a host of extremely polite victims.",Eternal Dentist Drill,Medium,STARVING,"1,000 Years",Chef Gordon Ramsay,FALSE,FALSE,428
Benito Mussolini,3787150,"Tried to make the trains run on time, violently.","Polish every bumper of every car driven by every taxi driver in Italy, every single day.",Singing Fish,Low,ANNOYED,888 Years,Luca the Detailer Imp,FALSE,FALSE,386
Ayatollah Khomeini,5644726,"Religious reform, with extreme rules and no fun.","Watch a 24-hour loop of classic Western cartoons (Bugs Bunny, Tom and Jerry) on the highest volume.",Mandatory Disco,Medium,IRRITATED,Eternal,Cartoon Cat,FALSE,FALSE,365
Ted Bundy,9546990,"Really bad at dating, serial ghoster.","Be forced to write an encouraging, feminist self-help book for 1786 chapters.",Public Speaking,High,HUMILIATED,Eons,Oprah Winfrey,FALSE,FALSE,327
John Wayne Gacy,7573910,Clowning around led to severe neighborhood issues.,"Must paint clown faces on every sewer grate in Hell, only to have them washed off by demon tears.",Tiny Shoes,Extreme,CRAMPED,Forever,Pennywise's Nephew,FALSE,FALSE,312
Ivan the Terrible,6197104,Had severe anger management issues with family.,"Give endless hugs to everyone he murdered, who are now overly affectionate ghosts.",Tickle Monsters,Medium,SUFFOCATED,999 Years,Ghost Czarina,FALSE,FALSE,305
Fidel Castro,9580889,"Took over a small island, never gave it back.","Be forced to debate the merits of capitalism with a persistent, well-researched American college student.",No Cuban Cigars,High,BORED,700 Years,Chad the Economist,FALSE,FALSE,283
Jim Jones,1391922,Offered bad Kool-Aid and worse life advice.,"Serve only warm Kool-Aid (not poisoned) to a group of perpetually thirsty, never-satisfied demons.",Endless Thirst,Medium,PARCHED,666 Years,The Kool-Aid Man (Evil),FALSE,FALSE,279
Vlad the Impaler,5510343,Preferred vertical storage for his enemies.,"Constantly organize and re-organize a massive, splintery pile of tiny toothpicks.",Chronic Back Pain,Low,GRUMPY,Endless,Toothpick Timmy,FALSE,FALSE,276
Timothy McVeigh,7516803,Had extreme opinions about federal buildings.,"Live in a perpetually crowded, happy city where everything runs perfectly and efficiently.",Mandatory Politeness,Medium,ISOLATED,300 Years,Ms. Congeniality,FALSE,FALSE,275
Slobodan Milosevic,6545855,ot tribal in the Balkan peninsula.,"Must mediate every petty argument between demons, ensuring fair and peaceful resolutions.",Eternal Bureaucracy,High,EXHAUSTED,Infinity,Demon Judge Judy,FALSE,FALSE,242
Marquis de Sade,5780634,"Just really, really into uncomfortable novels.","Write romance novels that are genuinely sweet, chaste, and G-rated, forever receiving polite applause.",Wholesome Content,Medium,DISGUSTED,Eons,Jane Austen,FALSE,FALSE,222
Mommar Khadafy,8062949,"MEccentric dictator, loved tents and golden guns.",Wear only a bright pink tutu and have a glitter bomb explode every time he tries to give a speech.,Pink Tutus,Low,ASHAMED,500 Years,Disco Demon,FALSE,FALSE,218
Jack the Ripper,8767295,"Messy serial killer, poor knife-handling skills.",Be forced to solve the mystery of his own identity using only a magnifying glass that fogs up instantly.,Foggy Lens,Medium,CONFUSED,Eternal,Sherlock Holmes's Ghost,FALSE,FALSE,203
Clickbait Journalists,4256176,Clickbait Journalists,"Write 1,000,000 articles where the headline is fully answered in the first sentence.",Perpetual Loading Screen,Medium,ANNOYED,100 Years,Fact Checker Demon,FALSE,FALSE,120
Loud Talkers on the Phone,9870372,Loud Talkers on the Phone,Must listen to smooth jazz at an uncomfortable volume for all eternity.,Phone Battery Always Dead,High,IRRITATED,Eternal,The Librarian,FALSE,FALSE,115
People Who Reply All,1868272,People Who Reply All,"Manually sort 1,000,000 email chains into 'Relevant' and 'Unnecessary'.",Inbox Limit Reached,Extreme,EXHAUSTED,Infinity,IT Demon,FALSE,FALSE,110
Users of Comic Sans,7115668,Users of Comic Sans,"Hand-write every legal document in Times New Roman, perfectly centered.",Papyrus Font Everywhere,Medium,DISGUSTED,50 Years,Typeface Titan,FALSE,FALSE,105
Those Who Spoil Movies,1791261,Those Who Spoil Movies,"Must watch every movie backwards, without subtitles, and then explain the plot.",Trailer Reveals Everything,High,BORED,999 Years,Plot Twist Punisher,FALSE,FALSE,100
People Who Leave One Second on the Microwave Timer,5438602,People Who Leave One Second on the Microwave Timer,Forever be forced to hit 'Cancel' on a timer with exactly 0.01 seconds remaining.,Permanent Residual Beep,Low,FRUSTRATED,Endless,Timer Imp,FALSE,FALSE,95
Internet Trolls,5686709,Internet Trolls,Live in a comment section where everyone agrees with them and only posts compliments.,Mandatory Niceness,Extreme,SUFFOCATED,Eons,The Nice Bot,FALSE,FALSE,90
People Who Don't Recycle,1344270,People Who Don't Recycle,"Manually sort an endless mountain of garbage into 7 distinct, hyper-specific bins.",Everything is Styrofoam,High,GRUMPY,Forever,Environmental Imp,FALSE,FALSE,85
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,203